日期,星期,品类,销量(杯/份),单价(元),销售额(元),当日原料成本(元)
2026-07-16,周四,拿铁,15,22,330,114.26
2026-07-16,周四,燕麦拿铁,5,24,120,39.09
2026-07-16,周四,手冲单品,5,32,160,56.19
2026-07-16,周四,司康/甜品,9,15,135,43.93
2026-07-17,周五,美式,7,18,126,44.63
2026-07-17,周五,拿铁,14,22,308,115.0
2026-07-17,周五,燕麦拿铁,8,24,192,60.47
2026-07-17,周五,手冲单品,5,32,160,57.09
2026-07-17,周五,司康/甜品,9,15,135,43.1
2026-07-18,周六,美式,18,18,324,113.39
2026-07-18,周六,拿铁,25,22,550,200.71
2026-07-18,周六,燕麦拿铁,12,24,288,93.12
2026-07-18,周六,手冲单品,7,32,224,76.2
2026-07-18,周六,司康/甜品,16,15,240,82.25
2026-07-19,周日,美式,16,18,288,102.86
2026-07-19,周日,拿铁,32,22,704,223.09
2026-07-19,周日,燕麦拿铁,10,24,240,80.1
2026-07-19,周日,手冲单品,11,32,352,115.25
2026-07-19,周日,司康/甜品,14,15,210,71.69
2026-07-20,周一,美式,9,18,162,53.38
2026-07-20,周一,拿铁,14,22,308,115.39
2026-07-20,周一,燕麦拿铁,6,24,144,53.32
2026-07-20,周一,手冲单品,6,32,192,60.2
2026-07-20,周一,司康/甜品,14,15,210,77.39
2026-07-21,周二,美式,12,18,216,80.97
2026-07-21,周二,拿铁,19,22,418,134.45
2026-07-21,周二,燕麦拿铁,7,24,168,54.59
2026-07-21,周二,手冲单品,5,32,160,50.26
2026-07-21,周二,司康/甜品,10,15,150,56.85
2026-07-22,周三,美式,8,18,144,52.54
2026-07-22,周三,拿铁,16,22,352,119.54
2026-07-22,周三,燕麦拿铁,8,24,192,72.9
2026-07-22,周三,手冲单品,6,32,192,69.18
2026-07-22,周三,司康/甜品,9,15,135,44.65
2026-07-23,周四,美式,12,18,216,75.72
2026-07-23,周四,拿铁,16,22,352,127.55
2026-07-23,周四,燕麦拿铁,5,24,120,42.11
2026-07-23,周四,手冲单品,6,32,192,70.98
2026-07-23,周四,司康/甜品,9,15,135,50.93
2026-07-24,周五,美式,7,18,126,40.7
2026-07-24,周五,拿铁,17,22,374,133.62
2026-07-24,周五,燕麦拿铁,6,24,144,45.85
2026-07-24,周五,手冲单品,7,32,224,73.3
2026-07-24,周五,司康/甜品,11,15,165,58.3
2026-07-25,周六,美式,14,18,252,88.42
2026-07-25,周六,拿铁,25,22,550,206.49
2026-07-25,周六,燕麦拿铁,9,24,216,77.79
2026-07-25,周六,手冲单品,8,32,256,86.45
2026-07-25,周六,司康/甜品,19,15,285,94.33
2026-07-26,周日,美式,13,18,234,84.86
2026-07-26,周日,拿铁,19,22,418,142.99
2026-07-26,周日,燕麦拿铁,14,24,336,127.59
2026-07-26,周日,手冲单品,7,32,224,72.78
2026-07-26,周日,司康/甜品,15,15,225,84.45
2026-07-27,周一,美式,11,18,198,73.57
2026-07-27,周一,拿铁,15,22,330,105.94
2026-07-27,周一,燕麦拿铁,8,24,192,68.98
2026-07-27,周一,手冲单品,6,32,192,72.79
2026-07-27,周一,司康/甜品,12,15,180,55.9
2026-07-28,周二,美式,11,18,198,65.53
2026-07-28,周二,拿铁,17,22,374,140.52
2026-07-28,周二,燕麦拿铁,5,24,120,38.17
2026-07-28,周二,手冲单品,4,32,128,44.64
2026-07-28,周二,司康/甜品,9,15,135,47.57
2026-07-29,周三,美式,10,18,180,58.37
2026-07-29,周三,拿铁,17,22,374,122.85
2026-07-29,周三,燕麦拿铁,7,24,168,62.73
2026-07-29,周三,手冲单品,7,32,224,70.89
2026-07-29,周三,司康/甜品,10,15,150,49.41
2026-07-30,周四,美式,7,18,126,45.86
2026-07-30,周四,拿铁,17,22,374,122.8
2026-07-30,周四,燕麦拿铁,8,24,192,66.93
2026-07-30,周四,手冲单品,5,32,160,49.71
2026-07-30,周四,司康/甜品,8,15,120,44.62
2026-07-31,周五,美式,11,18,198,68.94
2026-07-31,周五,拿铁,19,22,418,146.62
2026-07-31,周五,燕麦拿铁,5,24,120,38.27
2026-07-31,周五,手冲单品,5,32,160,59.67
2026-07-31,周五,司康/甜品,13,15,195,72.2
